City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
160,Nikolayevsk-Na-Amure,RU,53.1406,140.73,28.9,83,40,3.71,scattered clouds,2021-11-24 03:02:10
161,Vila Velha,BR,-20.3297,-40.2925,71.94,93,19,5.99,few clouds,2021-11-24 03:02:10
162,East London,ZA,-33.0153,27.9116,58.62,84,100,11.7,light rain,2021-11-24 03:02:11
163,Tuatapere,NZ,-46.1333,167.6833,61.75,57,100,9.48,overcast clouds,2021-11-24 03:02:11
164,Tumut,AU,-35.3,148.2167,64.54,92,100,1.99,light rain,2021-11-24 03:02:11
165,Castro,BR,-24.7911,-50.0119,64.33,74,100,7.7,overcast clouds,2021-11-24 03:01:00
166,Bredasdorp,ZA,-34.5322,20.0403,57.27,85,99,4.79,overcast clouds,2021-11-24 03:02:12
167,Bilgoraj,PL,50.5411,22.722,38.66,92,93,5.5,overcast clouds,2021-11-24 03:02:12
168,Port Hedland,AU,-20.3167,118.5667,96.85,17,97,16.11,overcast clouds,2021-11-24 03:02:12
169,Clyde River,CA,70.4692,-68.5914,17.83,86,100,26.46,snow,2021-11-24 03:02:13
170,Kargat,RU,55.1956,80.2811,20.32,90,100,15.73,overcast clouds,2021-11-24 03:02:13
171,La Ronge,CA,55.1001,-105.2842,6.48,89,100,11.1,overcast clouds,2021-11-24 03:02:13
172,Hede,CN,33.7681,120.2517,54.01,34,0,12.15,clear sky,2021-11-24 03:02:14
173,Oranjestad,AW,12.524,-70.027,80.55,78,20,11.5,few clouds,2021-11-24 02:58:05
174,Takoradi,GH,4.8845,-1.7554,79.11,82,12,6.76,few clouds,2021-11-24 02:57:48
175,Goure,NE,13.9835,10.2704,77.02,18,1,8.52,clear sky,2021-11-24 03:02:14
176,Cabo San Lucas,MX,22.8909,-109.9124,75.61,77,20,3.0,few clouds,2021-11-24 03:02:14
177,Sao Francisco,BR,-15.9486,-44.8644,73.36,78,65,2.82,light rain,2021-11-24 03:02:15
